"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2020","1,103.87","988.71","1,108.83","988.71","14.51M","10.05%"
"01/01/2021","1,056.61","1,113.77","1,200.85","998.33","15.73M","-4.28%"
"02/01/2021","1,168.47","1,056.61","1,185.58","1,029.36","8.87M","10.59%"
"03/01/2021","1,191.44","1,176.93","1,200.94","1,137.90","15.40M","1.97%"
"04/01/2021","1,239.39","1,194.59","1,286.32","1,192.83","15.19M","4.02%"
"05/01/2021","1,328.05","1,222.08","1,328.05","1,212.56","14.68M","7.15%"
"06/01/2021","1,408.55","1,329.47","1,419.61","1,312.08","16.57M","6.06%"
"07/01/2021","1,310.05","1,412.15","1,424.28","1,225.52","13.27M","-6.99%"
"08/01/2021","1,331.47","1,310.05","1,379.70","1,285.16","15.87M","1.64%"
"09/01/2021","1,342.06","1,331.47","1,365.92","1,316.41","14.70M","0.80%"
"10/01/2021","1,444.27","1,342.06","1,447.62","1,332.97","15.96M","7.62%"
"11/01/2021","1,478.44","1,444.27","1,511.68","1,434.69","24.07M","2.37%"
"12/01/2021","1,498.28","1,478.44","1,499.77","1,400.87","20.95M","1.34%"
"01/01/2022","1,478.96","1,508.55","1,536.45","1,424.36","17.28M","-1.29%"
"02/01/2022","1,490.13","1,478.96","1,520.78","1,470.06","11.91M","0.76%"
"03/01/2022","1,492.15","1,490.13","1,513.90","1,437.27","19.34M","0.14%"
"04/01/2022","1,366.80","1,492.15","1,530.95","1,261.40","14.45M","-8.40%"
"05/01/2022","1,292.68","1,366.11","1,366.39","1,156.54","11.56M","-5.42%"
"06/01/2022","1,197.60","1,292.68","1,316.78","1,162.06","12.88M","-7.36%"
"07/01/2022","1,206.33","1,197.60","1,217.84","1,142.80","11.09M","0.73%"
"08/01/2022","1,280.51","1,206.33","1,295.12","1,206.33","15.29M","6.15%"
"09/01/2022","1,132.11","1,280.51","1,286.92","1,099.44","11.20M","-11.59%"
"10/01/2022","1,027.94","1,132.11","1,132.11","962.45","12.48M","-9.20%"
"11/01/2022","1,048.42","1,027.94","1,048.42","873.78","16.46M","1.99%"
"12/01/2022","1,036.28","1,048.42","1,066.28","1,035.62","1.34M","-1.16%"
